nombre,poblacion,superficie,continente
Suiza,8654622,41285,Europa
Suecia,10099265,450295,Europa
Países Bajos,17134872,41543,Europa
Guatemala,18410000,109520,America
Australia,25687041,7692024,Oceania
Arabia Saudita,34813871,2149690,Asia
Canadá,38005238,9984670,América
Argentina,45376763,2780400,América
España,46754778,505990,Europa
Colombia,50882891,1141748,América
Sudáfrica,59308690,1219090,África
Italia,60461826,301340,Europa
Francia,65273511,643801,Europa
Reino Unido,67886011,242495,Europa
Alemania,83149300,357022,Europa
Turquía,84339067,783562,Europa/Asia
Japón,125800000,377975,Asia
Japón,125800000,377975,Asia
México,128932753,1964375,América
Rusia,145912025,17098242,Europa/Asia
Nigeria,206139589,923768,África
Brasil,213993437,8515767,América
Indonesia,273523615,1904569,Asia
Estados Unidos,331002651,9833517,América
India,1380004385,3287263,Asia
China,1439323776,9596961,Asia
